id,item,kind,judgment,presentation,participants,items
2,6,syn,1,text,50,6
3,6,syn,1,text,50,6
4,6,syn,2,text,50,6
5,6,syn,1,text,50,6
6,6,syn,1,text,50,6
7,6,syn,1,text,50,6
8,6,syn,3,text,50,6
9,6,syn,1,text,50,6
10,6,syn,1,text,50,6
11,6,syn,1,text,50,6
12,6,syn,1,text,50,6
13,6,syn,1,text,50,6
14,6,syn,1,text,50,6
15,6,syn,1,text,50,6
16,6,syn,1,text,50,6
17,6,syn,1,text,50,6
18,6,syn,1,text,50,6
19,6,syn,1,text,50,6
20,6,syn,1,text,50,6
21,6,syn,2,text,50,6
22,6,syn,2,text,50,6
23,6,syn,1,text,50,6
24,6,syn,1,text,50,6
25,6,syn,1,text,50,6
26,6,syn,1,text,50,6
27,1,syn,2,text,50,6
27,3,syn,7,text,50,6
27,4,syn,6,text,50,6
27,2,syn,3,text,50,6
27,6,syn,5,text,50,6
27,5,syn,3,text,50,6
28,5,syn,2,text,50,6
28,4,syn,1,text,50,6
28,6,syn,1,text,50,6
28,1,syn,1,text,50,6
28,2,syn,1,text,50,6
28,3,syn,5,text,50,6
29,6,syn,1,text,50,6
29,3,syn,1,text,50,6
29,2,syn,1,text,50,6
29,1,syn,1,text,50,6
29,5,syn,1,text,50,6
29,4,syn,1,text,50,6
30,3,syn,1,text,50,6
30,6,syn,1,text,50,6
30,1,syn,1,text,50,6
30,5,syn,2,text,50,6
30,4,syn,2,text,50,6
30,2,syn,1,text,50,6
31,5,syn,1,text,50,6
31,2,syn,1,text,50,6
31,1,syn,1,text,50,6
31,6,syn,1,text,50,6
31,3,syn,1,text,50,6
31,4,syn,1,text,50,6
32,5,syn,2,text,50,6
32,2,syn,2,text,50,6
32,1,syn,2,text,50,6
32,3,syn,3,text,50,6
32,6,syn,2,text,50,6
32,4,syn,2,text,50,6
33,4,syn,1,text,50,6
33,5,syn,1,text,50,6
33,3,syn,1,text,50,6
33,2,syn,1,text,50,6
33,6,syn,1,text,50,6
33,1,syn,1,text,50,6
34,5,syn,2,text,50,6
34,4,syn,2,text,50,6
34,3,syn,2,text,50,6
34,2,syn,1,text,50,6
34,1,syn,1,text,50,6
34,6,syn,1,text,50,6
35,2,syn,1,text,50,6
35,3,syn,1,text,50,6
35,1,syn,3,text,50,6
35,5,syn,2,text,50,6
35,6,syn,1,text,50,6
35,4,syn,1,text,50,6
36,2,syn,1,text,50,6
36,6,syn,1,text,50,6
36,1,syn,1,text,50,6
36,5,syn,1,text,50,6
36,3,syn,1,text,50,6
36,4,syn,1,text,50,6
37,3,syn,4,text,50,6
37,5,syn,1,text,50,6
37,6,syn,1,text,50,6
37,1,syn,1,text,50,6
37,2,syn,1,text,50,6
37,4,syn,1,text,50,6
38,1,syn,1,text,50,6
38,2,syn,1,text,50,6
38,5,syn,2,text,50,6
38,4,syn,1,text,50,6
38,3,syn,1,text,50,6
38,6,syn,1,text,50,6
39,5,syn,1,text,50,6
39,6,syn,1,text,50,6
